"","x","y","TagId","freq","num_x","num_y","total","unique_nodes","easting","northing","id","total_nodes","avex","avey","zone","letter","date","time_of_day","hour"
"212",-81.3555479812516,27.1979010347877,"61526633",2019-12-10 20:20:00,-516198.410324448,-3341179.74529479,-1.11061506396278,25,464808.080058871,3008442.16010777,"61526633 2019-12-10 20:20:00",25,464786.069515934,3008404.85034765,17,"R","2019-12-10","20:20:00",20
"213",-81.355847441237,27.1984230550482,"61526633",2019-12-10 20:30:00,-1054843.35217668,-6828213.11555452,-2.26966848881229,28,464826.107182066,3008458.67869496,"61526633 2019-12-10 20:30:00",28,464756.574528942,3008462.75533732,17,"R","2019-12-10","20:30:00",20
"214",-81.3551121940701,27.1982908382767,"61526633",2019-12-10 20:40:00,-971636.220934,-6288580.81572029,-2.09030736656604,27,464833.000042491,3008470.85198759,"61526633 2019-12-10 20:40:00",27,464829.353077488,3008447.90402819,17,"R","2019-12-10","20:40:00",20
"215",-81.3587729299601,27.1955904274999,"61526633",2019-12-11 13:50:00,-126250.001837198,-817667.983134374,-0.271817572108784,4,464639.999964688,3008230.00010688,"61526633 2019-12-11 13:50:00",4,464465.931535403,3008149.82928011,17,"R","2019-12-11","13:50:00",13
"216",-81.3589409226169,27.195653686732,"61526633",2019-12-11 14:00:00,-1223404.87284974,-7923779.16707373,-2.634097712769,4,464639.999964688,3008230.00010688,"61526633 2019-12-11 14:00:00",4,464449.312916216,3008156.88372629,17,"R","2019-12-11","14:00:00",14
"217",-81.3584284464471,27.195592730868,"61526633",2019-12-11 14:10:00,-289717.749592436,-1876241.86936849,-0.623719521165417,5,464599.999906015,3008210.00024136,"61526633 2019-12-11 14:10:00",5,464500.051322909,3008149.98681257,17,"R","2019-12-11","14:10:00",14
"218",-81.3577110749341,27.1954568672155,"61526633",2019-12-11 14:20:00,-339615.259941723,-2199035.94612348,-0.731029737611354,7,464554.285710761,3008187.14300793,"61526633 2019-12-11 14:20:00",7,464571.059792203,3008134.73513246,17,"R","2019-12-11","14:20:00",14
"219",-81.3576059805675,27.1964432178667,"61526633",2019-12-11 14:30:00,-489212.763665105,-3167733.65216928,-1.05301754023364,22,464558.272760262,3008357.45468685,"61526633 2019-12-11 14:30:00",22,464581.780429376,3008243.95713906,17,"R","2019-12-11","14:30:00",14
"220",-81.3581898437257,27.1968289896355,"61526633",2019-12-11 14:40:00,-1687311.03145095,-10927131.3724804,-3.63234356003437,23,464570.521781021,3008373.6523115,"61526633 2019-12-11 14:40:00",23,464524.07476428,3008286.85169224,17,"R","2019-12-11","14:40:00",14
"221",-81.3576663022444,27.1965564154661,"61526633",2019-12-11 14:50:00,-1168630.65220068,-7567205.29598645,-2.51547873823704,23,464614.000011292,3008330.17402897,"61526633 2019-12-11 14:50:00",23,464575.841742043,3008256.51235275,17,"R","2019-12-11","14:50:00",14
"222",-81.3578911565583,27.1963832591607,"61526633",2019-12-11 15:00:00,-1915600.62663787,-12404558.860959,-4.12353056822533,23,464640.086974533,3008347.56534591,"61526633 2019-12-11 15:00:00",23,464553.516687595,3008237.39650307,17,"R","2019-12-11","15:00:00",15
"223",-81.3572527711577,27.1965065264208,"61526633",2019-12-11 15:10:00,-1199158.12315962,-7764180.27794899,-2.58096169977545,20,464660.000012803,3008310.00008685,"61526633 2019-12-11 15:10:00",20,464616.783450895,3008250.86967563,17,"R","2019-12-11","15:10:00",15
"224",-81.3578471239322,27.1962815948137,"61526633",2019-12-11 15:20:00,-1402500.783269,-9081838.85697458,-3.01900139304241,20,464660.000012803,3008310.00008685,"61526633 2019-12-11 15:20:00",20,464557.845684073,3008226.12334813,17,"R","2019-12-11","15:20:00",15
"225",-81.3580069317624,27.1961550235105,"61526633",2019-12-11 15:30:00,-1627531.35005501,-10539326.5086417,-3.50351836454261,20,464550.000011557,3008340.00011019,"61526633 2019-12-11 15:30:00",20,464541.977723437,3008212.14905137,17,"R","2019-12-11","15:30:00",15
"226",-81.3583831098414,27.1961350807623,"61526633",2019-12-11 15:40:00,-1353666.98002191,-8766573.28059638,-2.9142158110158,22,464585.454578187,3008339.09103683,"61526633 2019-12-11 15:40:00",22,464504.713379502,3008210.04657875,17,"R","2019-12-11","15:40:00",15
